"soc","industry_code"
"51-9012","TE1000"
"51-9020","TE1000"
"51-9021","TE1000"
"51-9022","TE1000"
"51-9023","TE1000"
"51-9030","TE1000"
"51-9031","TE1000"
"51-9032","TE1000"
"51-9041","TE1000"
"51-9051","TE1000"
"51-9061","TE1000"
"51-9071","TE1000"
"51-9080","TE1000"
"51-9081","TE1000"
"51-9082","TE1000"
"51-9083","TE1000"
"51-9111","TE1000"
"51-9120","TE1000"
"51-9123","TE1000"
"51-9124","TE1000"
"51-9141","TE1000"
"51-9151","TE1000"
"51-9160","TE1000"
"51-9161","TE1000"
"51-9162","TE1000"
"51-9190","TE1000"
"51-9191","TE1000"
"51-9192","TE1000"
"51-9193","TE1000"
"51-9194","TE1000"
"51-9195","TE1000"
"51-9196","TE1000"
"51-9197","TE1000"
"51-9198","TE1000"
"51-9199","TE1000"
"53-0000","TE1000"
"53-1000","TE1000"
"53-1041","TE1000"
"53-1047","TE1000"
"53-2000","TE1000"
"53-2010","TE1000"
"53-2011","TE1000"
"53-2012","TE1000"
"53-2020","TE1000"
"53-2021","TE1000"
"53-2022","TE1000"
"53-2031","TE1000"
"53-3000","TE1000"
"53-3011","TE1000"
"53-3030","TE1000"
"53-3031","TE1000"
"53-3032","TE1000"
"53-3033","TE1000"
"53-3050","TE1000"
"53-3051","TE1000"
"53-3052","TE1000"
"53-3053","TE1000"
"53-3054","TE1000"
"53-3099","TE1000"
"53-4000","TE1000"
"53-4010","TE1000"
"53-4011","TE1000"
"53-4013","TE1000"
"53-4022","TE1000"
"53-4031","TE1000"
"53-4041","TE1000"
"53-4099","TE1000"
"53-5000","TE1000"
"53-5011","TE1000"
"53-5020","TE1000"
"53-5021","TE1000"
"53-5022","TE1000"
"53-5031","TE1000"
"53-6000","TE1000"
"53-6011","TE1000"
"53-6021","TE1000"
"53-6030","TE1000"
"53-6031","TE1000"
"53-6032","TE1000"
"53-6041","TE1000"
"53-6051","TE1000"
"53-6061","TE1000"
"53-6099","TE1000"
"53-7000","TE1000"
"53-7011","TE1000"
"53-7021","TE1000"
"53-7031","TE1000"
"53-7041","TE1000"
"53-7051","TE1000"
"53-7060","TE1000"
"53-7061","TE1000"
"53-7062","TE1000"
"53-7063","TE1000"
"53-7064","TE1000"
"53-7065","TE1000"
"53-7070","TE1000"
"53-7071","TE1000"
"53-7072","TE1000"
"53-7073","TE1000"
"53-7081","TE1000"
"53-7121","TE1000"
"53-7199","TE1000"
"00-0000","TE1100"
"11-0000","TE1100"
"11-1000","TE1100"
"11-1011","TE1100"
"11-1021","TE1100"
"11-2000","TE1100"
"11-2011","TE1100"
"11-2020","TE1100"
"11-2021","TE1100"
"11-2022","TE1100"
"11-3000","TE1100"
"11-3010","TE1100"
"11-3013","TE1100"
"11-3021","TE1100"
"11-3031","TE1100"
"11-3051","TE1100"
"11-3061","TE1100"
"11-3071","TE1100"
"11-3121","TE1100"
"11-9000","TE1100"
"11-9013","TE1100"
"11-9021","TE1100"
"11-9030","TE1100"
"11-9031","TE1100"
"11-9032","TE1100"
"11-9033","TE1100"
"11-9039","TE1100"
"11-9051","TE1100"
"11-9070","TE1100"
"11-9071","TE1100"
"11-9072","TE1100"
"11-9081","TE1100"
"11-9111","TE1100"
"11-9141","TE1100"
"11-9151","TE1100"
"11-9170","TE1100"
"11-9171","TE1100"
"11-9179","TE1100"
"11-9199","TE1100"
"13-0000","TE1100"
"13-1000","TE1100"
"13-1011","TE1100"
"13-1020","TE1100"
"13-1030","TE1100"
"13-1031","TE1100"
"13-1032","TE1100"
"13-1041","TE1100"
"13-1051","TE1100"
"13-1070","TE1100"
